Player,Team,Age,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Tom Scully,Hawthorn,28,Midfielder,21,8.4,65.714,66.143,5,0.238,84.095,9.286,9.19,18.476,73.196,64.615,81.865,50.258,3.476,1.095,273.095,14.781,2.667,6.929,3.524,5.243,5.238,13.429,18.667,28.061,2.333,4.286,0.19,1,1.19,3.19,0.048,0.333,0.095,0.048,0.429,1.048,-0.619,0,0,0,,0,,2.333,0.286,0.19,,0.429,,12,0.571,0.286,1.095,0.238,52.174,4.19,18.925,0.476,0.571,0.667,14.381,0.19
Tom Sparrow,Melbourne,19,Med Forward,2,5.4,48,52,0,0,73,8.5,2.5,11,54.545,,,77.273,1,1,204,18.545,3,3.667,4,2.75,5,6,11,45.455,1,3.5,0,1.5,1.5,1,0,0,0,0,1.5,1,0.5,0,0,0,,0,,4,1.5,0.5,,1.5,,1,0.5,1,2.5,0,,3,18.75,0,0,0.5,21.5,0.5
Tom Stewart,Geelong,26,Med Defender,25,6.404,98.32,93.08,29,1.16,84.64,18.92,4.28,23.2,81.552,82.452,77.57,81.552,1.52,8.04,506.8,21.845,2.44,9.508,4.4,5.273,4.72,13.04,17.76,26.577,6.72,3.6,0,0.36,0.36,7.4,0.4,0.08,1.92,0.04,0.68,0.64,0.04,0,0,0,,0,,1.68,0.08,1.04,19.231,0,,0,0,0.08,0.2,0.2,,2.64,11.205,1.04,0.2,3.32,7.76,2.72
Tommy Sheridan,Greater Western Sydney,26,Midfielder,1,0.5,2,2,0,0,11,0,1,1,,,,,0,0,-4,,1,1,1,1,0,2,2,,1,0,0,0,0,1,0,0,1,0,0,1,-1,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,3,0
Tory Dickson,Western Bulldogs,32,Med Forward,17,9.153,60.941,57.471,1,0.059,77.235,6.412,5,11.412,71.649,59.633,87.059,56.186,1.353,0.471,153.118,13.418,1.294,8.818,2.235,5.105,4.412,6.824,11.235,39.267,1.588,3.353,0.118,0.176,0.294,3.529,0.412,1.294,0.176,0.765,0.471,0.471,0,0,0,0,,0,,2.412,1,0.118,,1.529,46.154,24,1.412,0.471,2.353,0.412,60,4.412,17.986,0.353,0.235,0.941,9.882,0.294
Touk Miller,Gold Coast,23,Midfielder,18,10.878,84.833,90.722,18,1,81.889,10.167,12.167,22.333,72.388,60.656,82.192,45.522,2.667,1.722,278.889,12.488,3.444,6.484,4,5.583,10.722,12.111,22.833,46.959,2.444,7.222,1.5,2.722,4.222,4.5,0.111,0.056,0.111,0.389,1,1,0,0.056,0.054,0,,0,,5.722,1.111,0.167,,0.222,,4,0.222,0.167,0.556,0.333,40,3.667,21.154,1.111,0.056,1.222,19.5,0.333
Travis Boak,Port Adelaide,31,Midfielder,21,14.3,107.238,105.667,67,3.19,79.81,14.571,15.762,30.333,66.248,52.941,78.55,48.038,4.619,1.143,396.19,13.061,4.286,7.078,5.952,5.096,14.667,15.381,30.048,48.811,2.952,10.19,2.381,4.571,6.952,3.333,0.095,0.333,0.19,0.238,1.19,1.238,-0.048,0.19,0.207,0.048,,0,,4.857,0.81,0.095,,0.286,,10,0.476,0.619,1.476,0.667,32.258,6.095,25.859,1.619,0,0.857,21.238,0.19
Travis Colyer,Fremantle,28,Med Forward,10,6.67,53.8,60.4,0,0,69.6,9.1,5.4,14.5,62.759,51.648,81.481,62.759,2,0.7,250.7,17.29,2.7,5.37,3.8,3.816,6.2,8.7,14.9,41.611,3,5.3,0.2,1.1,1.3,3.2,0,0.3,0.2,0.3,0.8,0.3,0.5,0,0,0,,0,,2.3,0.3,0,,0.1,,5,0.5,0.6,1.5,0.2,33.333,3.2,15.311,0.8,0.1,0.5,14.6,0.4
Travis Varcoe,Collingwood,31,Med Forward,16,7.812,58.812,53.25,0,0,75.625,5.875,6.562,12.438,77.387,62.766,90.476,47.236,1.688,0.25,143.75,11.558,1.812,6.862,2.062,6.03,4.625,8.062,12.688,36.453,1.562,3.688,0.062,0.188,0.25,3.688,0.125,0.875,0.062,1,0.375,1.062,-0.688,0,0,0,,0,,2.625,1.062,0.125,,0.438,,9,0.562,0.375,1.312,0.562,42.857,4.25,18.428,0.562,0.062,1.188,16.062,0.188
Trent Cotchin,Richmond,29,Midfielder,14,10.964,77.429,70.143,15,1.071,71,11.357,8.429,19.786,61.372,56.604,67.797,57.401,4,1.143,336.286,16.996,3.286,6.022,3.571,5.54,9.429,9.929,19.357,48.708,2.143,6.571,2.214,2.214,4.429,2.643,0.071,0.286,0.143,0.286,1.143,1.286,-0.143,0,0,0,,0,,3.143,0.286,0.143,,0.571,,3,0.214,0.143,0.5,0.286,,4.786,19.881,1.571,0.286,1.071,17.286,0.429
Trent Dumont,North Melbourne,24,Midfielder,21,9.624,83.81,87.81,8,0.381,87.571,12.905,10.667,23.571,70.101,63.1,78.571,54.747,3.381,1.714,316.857,13.442,3.095,7.615,3.857,6.111,7.381,16.286,23.667,31.187,3.667,5.476,0.429,1.619,2.048,4.333,0.095,0.238,0.476,0.19,0.857,0.619,0.238,0,0,0,,0,,3.667,0.381,0.333,,0.286,,3,0.143,0.238,0.476,0.571,30,4.429,19.497,1.048,0.095,1.714,19.19,0.714
Trent McKenzie,Port Adelaide,27,Med Defender,1,15.6,110,70,0,0,94,15,6,21,95.238,,,71.429,3,6,480,22.857,0,,0,,6,9,15,,10,3,0,0,0,4,2,0,3,0,1,0,1,0,0,0,,0,,0,0,4,,0,,0,0,0,0,0,,7,20,5,0,2,5,2
Tyson Stengle,Adelaide,21,Med Forward,2,11.85,62,58,0,0,74,7,1.5,8.5,,,,,1.5,0,188,,1.5,5.667,2,4.25,3,5.5,8.5,,1,1.5,0,0,0,2.5,0,1,0,1,1.5,1.5,0,0,0,0,,0,,3.5,2.5,0,,1.5,,5,2.5,0.5,3,1,,5.5,21.569,0,0.5,0,13,0
Wayne Milera,Adelaide,22,Med Defender,17,8.012,74.118,77.118,9,0.529,80.294,10.824,7.353,18.176,76.052,64.674,92.8,59.547,2,2.412,261.235,14.372,2.412,7.537,3.471,5.237,4.824,13,17.824,27.063,3.118,3.353,0.294,1.118,1.412,5.471,0.647,0.412,0.941,0.176,0.529,0.588,-0.059,0,0,0,,0,,3.059,0.235,0.706,16.667,0.588,20,6,0.353,0.412,0.765,0.235,46.154,4.235,18.509,0.706,0.353,2.176,13.059,1.647
Wil Powell,Gold Coast,20,Midfielder,13,5.623,55,54.923,0,0,77.692,6.769,5.385,12.154,71.519,68.182,75.714,55.696,1.769,1.308,187.615,15.437,2.077,5.852,2.615,4.647,4.692,7.923,12.615,37.195,2.692,3.154,0.077,0.846,0.923,3.538,0.154,0.077,0.692,0.462,0.923,0.692,0.231,0,0,0,,0,,2.692,0.231,0.077,,1.077,0,7,0.538,0.385,1,0.077,53.846,2.462,13.675,0.538,0.077,1.846,12.923,1.308
