Player,Team,Age,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Adam Cooney,Western Bulldogs,28,19,11.521,98.526,92.632,38,2,84.474,13.842,11.632,25.474,73.76,66.16,82.805,54.339,2.474,2.263,374.053,14.684,1.895,13.444,4.158,6.127,8.474,17.316,25.789,32.857,3.368,6,1.368,2,3.368,4.316,0.263,0.474,0.368,0.316,0.789,0.579,0.211,0,0,0,,0,,2.316,0.211,0.474,,0.211,,19,1,0.579,1.895,0.526,52.778,4.526,19.501,1,0.947,1.368,10.947,0.895
Adam Goodes,Sydney,33,12,13.675,84.25,81,14,1.167,88.917,11.083,6.75,17.833,68.224,59.398,82.716,62.15,3.417,0.833,308.333,17.29,2.25,7.926,3.25,5.487,8,10.083,18.083,44.24,1.917,5.25,0.583,1.667,2.25,5,0.833,1.25,0.333,0.833,1.083,0.333,0.75,0.083,0.078,0.083,,0.083,,2.083,0.667,0.333,,2,33.333,20,1.667,0.75,2.583,1.083,64.516,6.333,25.083,1.167,0.417,1.75,9.083,1
Adam Kennedy,Greater Western Sydney,21,19,6.163,57,52.053,0,0,85,7.316,6.368,13.684,79.615,76.259,83.471,53.462,0.947,2.053,197.211,14.412,1.579,8.667,2.579,5.306,4.053,9.579,13.632,29.73,3.316,3.053,0.053,0.526,0.579,3.737,0.211,0,0.737,0.105,0.632,0.737,-0.105,0,0,0,,0,,1.842,0.053,0.947,50,0.105,,1,0.053,0.053,0.158,0.053,,1.895,10.028,0.526,0.316,1.684,10.316,1.263
Adam Oxley,Collingwood,21,2,3.25,16,20,0,0,32.5,3,2,5,,,,,0,1,94.5,,0,,2,2.5,1.5,3.5,5,,2.5,1,0,0,0,1.5,0,0,1,0,0.5,0,0.5,0,0,0,,0,,0.5,0,0,,0,,0,0,0,0,0.5,,0.5,1.639,0,1.5,0,1.5,0
Adam Schneider,St Kilda,29,5,9.24,66.6,67.8,0,0,62.8,10.4,7,17.4,75.862,65.385,91.429,59.77,2.8,0.6,265.6,15.264,3,5.8,3,5.8,5.6,11.4,17,32.941,1.4,4.8,0.6,0.8,1.4,4.4,0,0.8,0.2,1.2,0.2,1.2,-1,0,0,0,,0,,1.8,0.6,0,,1,,4,0.8,0.8,2,0.8,40,5.6,22.4,0.4,0,0.6,13,0
Adam Selwood,West Coast,29,9,4.044,42.556,41.778,0,0,81.667,6.778,4.222,11,67.677,68.852,65.789,61.616,1.444,1.333,183.778,16.707,1.667,6.6,2.556,4.304,4.667,6.111,10.778,43.299,3,2.556,0,0.444,0.444,2.333,0.333,0.111,0.111,0.111,1.556,0.444,1.111,0,0,0,,0,,1.444,0.222,1.778,12.5,0.667,,0,0,0,0,0,,2,7.563,0.333,0,2.111,9.889,1.778
Adam Tomlinson,Greater Western Sydney,20,17,5.129,66.412,73.647,0,0,89.059,10.529,5.235,15.765,71.642,68.156,78.652,66.791,2.118,1.529,252.706,16.03,1.824,8.645,3.059,5.154,4.529,11.412,15.941,28.413,2.176,3.118,0.176,0.235,0.412,7.471,0.353,0.353,0.471,1.529,0.647,0.412,0.235,6.353,6.683,1.294,20.37,0.235,18.182,1.588,0.412,0.294,,1.529,15.385,5,0.294,0.353,0.765,0.235,38.462,2.941,16.026,0.412,0.353,1.706,10.882,1.353
Adam Treloar,Greater Western Sydney,20,20,10.43,87.05,88.95,11,0.55,84.4,12,12,24,70.833,61.25,80.417,50,2.55,2.3,319.35,13.306,2.85,8.421,4.25,5.647,9,15,24,37.5,3.1,7,1.2,1.75,2.95,4.45,0.35,0.15,0.45,0,0.85,0.65,0.2,0.15,0.16,0.1,,0,,3.4,0.25,0.4,,0.15,,9,0.45,0.3,0.9,0.25,50,4.7,24.165,1.2,1.4,0.3,15.3,0.15
Ahmed Saad,St Kilda,24,13,7.185,46.846,45.385,0,0,83.077,4.846,3.154,8,67.308,65.079,70.732,60.577,1.385,0.308,125.615,15.702,2,4,1.538,5.2,4.154,3.769,7.923,52.427,0.692,3.385,0.077,0.231,0.308,2.077,0.231,0.923,0,0.385,0.462,0.846,-0.385,0,0,0,,0,,2.923,0.769,0,,1.462,26.316,17,1.308,0.846,2.385,0.462,54.839,3.769,16.781,0.154,0.077,0.692,15.385,0.385
Aidan Corr,Greater Western Sydney,19,10,5.59,40.6,30.7,0,0,82.5,3.6,4.4,8,85,83.333,86.364,45,0.3,1.1,88,11,1.5,5.333,1,8,2.9,5.5,8.4,34.524,2.6,2.4,0.1,0.1,0.2,2.4,0.1,0,0.3,0,0.2,1.1,-0.9,0,0,0,,0,,1.6,0,1.2,33.333,0,,1,0.1,0,0.1,0.1,,1.5,8.523,0.3,0.1,3.6,10.6,3
Aidan Riley,Adelaide,22,2,5.7,31.5,22,0,0,42,3,4,7,,,,,1.5,0,124,,1.5,4.667,1,7,3.5,3.5,7,,0.5,2,0,0,0,1.5,0.5,0,0,0.5,0.5,1,-0.5,0,0,0,,0,,0,0,0,,1.5,,1,0.5,0,0.5,1,,3.5,12.727,0.5,0,1,9.5,0
Alan Didak,Collingwood,30,5,8.42,57.4,61.2,0,0,53.8,9.6,7.4,17,75.294,62.5,91.892,56.471,3,1.2,293.4,17.259,1,17,2.4,7.083,3.2,13.4,16.6,19.277,2.4,2.8,0.2,0.2,0.4,3.6,0.2,0.4,0.6,0.2,0.4,0.4,0,0,0,0,,0,,0.8,0.2,0,,0,,3,0.6,0.8,1.4,0.6,,5.4,19.286,0.6,0.4,0,9.8,0
Alan Toovey,Collingwood,26,5,9.36,70.4,51.8,1,0.2,88,8.6,3,11.6,68.966,62.791,,74.138,1.4,1.8,262.4,22.621,1.2,9.667,2,5.8,5.2,6,11.2,46.429,4.2,3.2,0,0.6,0.6,2,0.4,0,0.4,0,1.6,0.4,1.2,0,0,0,,0,,3.4,0,1.8,,0,,0,0,0,0,0.8,,2.6,9.091,0.6,0.8,3.2,12,2.6
Alex Fasolo,Collingwood,21,3,5.133,44,48.667,0,0,63.333,8,3,11,63.636,50,,72.727,3,0,196.667,17.879,1.667,6.6,1.333,8.25,3.333,7.333,10.667,31.25,1,1.667,0.333,0.667,1,4,1,0.333,0.667,0,0.333,1,-0.667,0,0,0,,0,,1.667,0.667,0,,1,,1,0.333,0.667,1.333,0.333,,3,10.843,0,0,0,8.667,0
Alex Forster,Fremantle,20,1,4.5,30,37,0,0,93,4,5,9,,,,,2,0,104,,1,9,3,3,5,3,8,,1,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,,0,,3,1,1,,0,,0,0,0,0,0,,1,9.091,1,0,0,12,0
Alex Rance,Richmond,24,23,10.535,87.435,70.522,28,1.273,95.609,9.826,6.783,16.609,82.984,80.088,87.179,59.162,0.783,3.304,233.13,14.037,2.261,7.346,2.391,6.945,6.696,10.304,17,39.386,7.348,3.435,0.043,0.174,0.217,6.652,1.043,0.043,2.304,0,1.739,1.087,0.652,0.087,0.096,0.087,,0,,2.174,0,4.826,24.324,0.391,,1,0.043,0,0.087,0.087,,3.391,12.48,1.304,0.565,7.261,8.957,6.217
Alex Sexton,Gold Coast,20,4,5.625,38,36.5,0,0,59.5,5,2,7,71.429,60,,71.429,2.25,0.5,216.75,30.964,1,7,0.75,9.333,1,6,7,14.286,1,0.5,0,0,0,1.75,0.25,0.25,0.25,0.25,0.25,0.5,-0.25,0,0,0,,0,,2,0.25,0.5,,0.5,,3,0.75,1,1.75,0.5,,3.75,15.789,0.5,2.5,0.75,9.75,0.5
Alex Silvagni,Fremantle,26,10,5.62,53.6,47.5,0,0,75.9,5.6,3.2,8.8,76.136,75,78.125,63.636,0.9,0.8,136.7,15.534,2,4.4,1.5,5.867,3.6,5.5,9.1,39.56,3.1,1.9,0,0.1,0.1,4.3,0.7,0.7,1.3,0.7,0.7,1.1,-0.4,1.2,1.384,0.3,,0.1,,2.6,0.6,2,20,0.6,,5,0.5,0.3,1.1,0.3,45.455,3,11.583,1,0,4.1,11.9,3
Alipate Carlile,Port Adelaide,26,22,7.436,57.409,46.591,2,0.1,94.682,6.818,5.5,12.318,82.657,82,83.471,55.351,0.682,2.591,183.318,14.882,1.773,6.949,2.045,6.022,3.818,7.864,11.682,32.685,4.636,3.136,0.091,0.045,0.136,3.682,0.182,0,0.818,0,0.318,0.955,-0.636,0.182,0.192,0,,0,,1.591,0.045,3.773,33.735,0,,1,0.045,0,0.091,0.091,,2.545,10.332,0.864,0.318,5.227,7.455,4.682
Allen Christensen,Geelong,22,21,12.61,89.429,84.429,25,1.389,78.714,10.095,11,21.095,71.106,60.849,80.519,47.856,3.619,1.095,317.238,15.038,2.762,7.638,3,7.032,9.238,12,21.238,43.498,2.476,6.333,1.19,1.81,3,3.238,0.143,0.905,0.095,0.476,1.857,0.952,0.905,0,0,0,,0,,4.048,0.905,0.286,,0.381,,23,1.095,0.667,2.19,0.905,50,7.429,25.325,1.714,0.048,0.619,17.476,0.238
Alwyn Davey,Essendon,29,14,7.514,55.357,50.214,0,0,70.5,5.571,3.929,9.5,64.228,54.167,78.431,58.647,0.857,0.071,133.615,14.122,1,9.5,1.769,5.348,4.071,5.143,9.214,44.186,1,3.154,0.071,0.286,0.357,1.786,0.071,1,0.077,0.077,0.286,0.714,-0.429,0,0,0,,0,,3.286,1.538,0.077,,0.692,,19,1.357,0.857,2.615,0.214,55.882,4.615,16.484,0.385,0.429,0.5,15.308,0.077
Andrejs Everitt,Sydney,24,20,9.545,63.75,59.8,0,0,75.75,8.45,6.95,15.4,79.221,70.414,89.928,54.87,2.5,1.95,272.25,17.679,1.4,11,2.55,6.039,4.2,11.05,15.25,27.541,4,3.5,0.1,0.4,0.5,3.9,0.25,0.2,1,0,0.25,0.35,-0.1,0,0,0,,0,,1.85,0.2,1,30,0.3,,7,0.35,0.15,0.7,0.45,50,3.9,14.857,1.2,1.2,2.7,10.1,2.55
Andrew Boston,Gold Coast,19,8,6.25,38.625,38,0,0,55.875,5.5,3,8.5,73.529,68.182,83.333,64.706,1.75,0.625,173,20.353,2,4.25,2,4.25,3.75,4.75,8.5,44.118,1.125,3,0.25,0.5,0.75,2.5,0.125,0.75,0,0.5,0.375,0.75,-0.375,0,0,0,,0,,1.125,0.125,0,,0.25,,7,0.875,0.125,1.125,0.25,,2.25,9.524,0.125,0.625,0.375,7.25,0.25
Andrew Carrazzo,Carlton,30,10,7.51,66.1,62.7,5,0.5,72.3,8.4,9.6,18,74.444,65.476,82.292,46.667,2.1,0.8,228.4,12.689,2.1,8.571,2.3,7.826,8,10.2,18.2,43.956,2.2,5.5,1.2,1.9,3.1,2.5,0,0,0.1,0,0.8,0.9,-0.1,0,0,0,,0,,3,0.4,0.4,,0.1,,1,0.1,0.1,0.3,0.5,,4.7,16.846,1.3,0,0.8,13.2,0.2
Andrew Embley,West Coast,32,11,6.818,51.364,54.727,0,0,59.091,9.182,3.727,12.909,64.789,58.416,80.488,71.127,2.182,1.091,278.909,21.606,2.091,6.174,3.455,3.737,4.364,8,12.364,35.294,1.455,3.455,0.182,0.636,0.818,3.091,0.273,0.545,0.182,0.182,0.364,0.545,-0.182,0,0,0,,0,,1.909,0.273,0.182,,0.636,,7,0.636,0.273,1.364,0.545,46.667,2.909,12.261,0.273,0.818,0.818,9.182,0.545
Andrew Gaff,West Coast,21,22,8.864,71.091,69.864,5,0.227,86.227,12.091,7.773,19.864,70.709,63.158,82.456,60.87,3.636,1.318,377.864,19.023,2.318,8.569,4.182,4.75,6.091,13.682,19.773,30.805,2.773,4.864,0.455,1.091,1.545,3.455,0.091,0.227,0.409,0.045,0.682,0.682,0,0,0,0,,0,,1.818,0.136,0.409,,0.227,,5,0.227,0.409,0.773,0.682,29.412,4.364,17.052,1.091,1.636,0.955,13.409,0.682
Andrew Krakouer,Collingwood,30,8,7.688,58.625,59.375,1,0.125,77.25,7.375,5.25,12.625,62.376,47.458,83.333,58.416,2.625,0,192.75,15.267,2.25,5.611,2.75,4.591,5.125,7.375,12.5,41,1.125,3.5,0.125,0.75,0.875,2.875,0,0.75,0,0.25,1.375,0.625,0.75,0,0,0,,0,,2.625,1.125,0,,1,,10,1.25,0.625,2.375,0.75,52.632,4.375,17.073,0.625,0,0.625,11.25,0.125
Andrew Mackie,Geelong,29,25,10.636,84.64,81.64,14,0.636,87.92,14.28,6.48,20.76,75.53,71.429,84.568,68.786,3.56,2.76,454.68,21.902,2.28,9.105,4.48,4.634,5.12,15.16,20.28,25.247,5.8,3.84,0.08,0.36,0.44,6.24,0.4,0.04,1.48,0,0.6,0.6,0,0,0,0,,0,,1.72,0,2.4,28.333,0.12,,5,0.2,0.24,0.52,0.48,38.462,5.4,18.646,1.6,0.52,2.84,8.84,2.56
Andrew McInnes,Carlton,21,8,7,55.875,46.25,0,0,88.25,6.125,3.75,9.875,74.684,65.306,90,62.025,1,1.875,148.125,15,1.625,6.077,2.25,4.389,3.875,5.5,9.375,41.333,4.75,2.5,0.125,0.5,0.625,2.875,0.25,0.125,0.875,0,0.75,0.75,0,0,0,0,,0,,3.125,0.125,3.875,35.484,0.5,,1,0.125,0,0.125,0.375,,2.375,9.048,1.125,0.125,5.875,9.75,5
Andrew Moore,Port Adelaide,22,17,6.606,67.176,69.824,2,0.133,76.412,9.176,7.294,16.471,66.071,53.846,81.452,55.714,2.294,1,197.471,11.989,2.294,7.179,2.706,6.087,6.235,10.353,16.588,37.589,1.059,4.765,0.882,1.882,2.765,3.529,0.176,0.529,0.118,0.294,0.529,0.941,-0.412,0.294,0.309,0.176,,0.059,,3.941,0.235,0.176,,0.529,,9,0.529,0.294,1,0.235,52.941,4.412,17.986,0.765,0.059,0.941,17.059,0.647
Andrew Raines,Brisbane,27,18,2.75,45.611,48.889,4,0.222,81.889,6.444,8.333,14.778,66.27,52.294,76.923,43.609,1.944,0.222,162.941,10.992,2.889,5.115,2.765,5.362,5,9.333,14.333,34.884,1.765,3.765,0.667,1.111,1.778,1.889,0,0.167,0.059,0,0.5,1.389,-0.889,0,0,0,,0,,2.278,0.294,0.529,,0.118,,4,0.222,0.444,0.765,0.056,30.769,3.941,15.839,0.824,0.444,0.778,9.882,0.412
Andrew Swallow,North Melbourne,26,17,11.347,101.294,94.471,28,1.647,77,12.353,11.412,23.765,70.157,60.5,80.769,51.98,2.824,1.882,286.812,12.013,2.941,8.08,3.75,6.367,12.118,12,24.118,50.244,2.375,7.25,2.235,4,6.235,3.294,0.059,0.118,0.125,0.25,2.235,1.294,0.941,0,0,0,,0,,6.294,0.438,0.062,,0.125,,2,0.118,0.471,0.75,0.471,16.667,6.125,21.875,1.875,0.471,0.824,19.5,0.25
Andrew Walker,Carlton,27,23,13.126,104.652,85.609,34,1.619,94.261,17.304,5.652,22.957,76.894,74.121,85.385,75.379,2.652,5.652,552.435,24.064,2.391,9.6,4.652,4.935,6.087,14.652,20.739,29.35,5.043,4.652,0.391,1.043,1.435,4.435,0.348,0.217,0.478,0.043,0.87,0.696,0.174,0,0,0,,0,,2.087,0.087,1.696,23.077,0.391,,7,0.304,0.13,0.696,0.391,43.75,4.87,18.006,1.478,2.217,3.783,9.739,2.913
Andy Otten,Adelaide,24,22,10.505,75.136,63.455,12,0.545,86.682,7.545,6.682,14.227,78.914,75.904,82.313,53.035,1.136,1.455,188.227,13.23,1.364,10.433,2.5,5.691,5.682,8.727,14.409,39.432,4,3.636,0.045,0.318,0.364,4.636,0.864,0.682,1.045,0.364,0.909,0.455,0.455,2.364,2.654,0.636,26.923,0.045,,2.273,0.273,2.136,19.149,1.545,23.529,15,0.682,0.182,1,0.273,68.182,3.864,14.68,0.818,0.091,4.545,9.636,3.864
Angus Monfries,Port Adelaide,26,24,10.621,89.708,80.542,12,0.545,85.75,9.292,8.542,17.833,71.262,65.471,77.561,52.103,2.833,0.5,230.125,12.904,1.208,14.759,2.625,6.794,7.458,10.083,17.542,42.518,2.167,5.25,0.292,0.875,1.167,4.417,0.458,1.708,0.208,1,1.458,0.625,0.833,0.042,0.044,0.042,,0,,3,0.833,0.125,,1.583,36.842,39,1.625,0.958,3,0.958,54.167,7.042,27.796,0.875,0.208,0.667,11.083,0.375
Anthony Miles,Greater Western Sydney,21,3,5.433,57,65.333,0,0,66.333,7.667,5,12.667,68.421,60.87,,60.526,2,0.667,183.333,14.474,1.333,9.5,2,6.333,4.333,9,13.333,32.5,2.333,3,0,0.333,0.333,4,0,0.333,0.667,0,0.667,0,0.667,0,0,0,,0,,4.333,0.333,0,,0,,1,0.333,0.333,0.667,0.333,,2.667,14.545,0.667,0,1.333,11.333,0.333
Arryn Siposs,St Kilda,21,9,6.889,50.444,46.222,0,0,75.222,5.889,4.778,10.667,71.875,60.377,86.047,55.208,1.111,0.556,164.889,15.458,1.556,6.857,2.111,5.053,4.667,6,10.667,43.75,2.333,3.667,0.333,0,0.333,3.333,0.556,0.889,0.111,0.556,0.444,0.556,-0.111,0,0,0,,0,,1.333,0.111,0.333,,0.778,,6,0.667,0.889,1.889,0.222,35.294,4.111,20.109,0.667,0.222,1.222,9.667,1.111
Ashley McGrath,Brisbane,30,20,7.245,51.85,44.15,9,0.45,78,6.45,3.25,9.7,67.568,63.636,75,66.495,2.05,1.35,191.947,19.714,2.35,4.128,2.632,3.7,4,5.15,9.15,43.716,2.737,3.474,0.25,0.15,0.4,2.2,0.2,0.75,0.316,0.526,0.2,1.25,-1.05,0,0,0,,0,,2.25,0.579,0.632,25,0.947,27.778,19,0.95,0.55,1.632,0.55,51.613,3.474,14.103,0.895,0.45,1.2,9.316,1.105
Ashley Smith,West Coast,23,12,6,58.833,58.5,0,0,85.583,9.417,5.667,15.083,80.663,76.991,86.765,62.431,1,3.333,306.25,20.304,2.417,6.241,4.083,3.694,3.417,10.5,13.917,24.551,3.333,3,0.083,0.333,0.417,4,0.083,0,0.667,0,0.167,0.5,-0.333,0,0,0,,0,,1.917,0,1.5,27.778,0.083,,1,0.083,0.083,0.25,0.083,,2.333,10,0.583,0.583,2.417,11,1.667
Ashton Hams,West Coast,27,8,6.825,56.375,51.5,0,0,74.625,7,2.5,9.5,76.316,75,80,73.684,2.5,0,179.5,18.895,0.875,10.857,1.5,6.333,3.25,6.625,9.875,32.911,0.75,1.625,0.125,0.625,0.75,3.125,0.25,1,0,0.5,1.125,0.375,0.75,0,0,0,,0,,2.375,1,0,,0.25,,8,1,0.625,1.625,1.125,61.538,5.125,18.062,0.875,0.125,0.5,11.5,0
Ayce Cordy,Western Bulldogs,23,5,3.36,43.8,37.2,0,0,86,3.4,4.6,8,57.5,,56.522,42.5,1,0,49.4,6.175,3.2,2.5,3,2.667,4.8,3.2,8,60,1.2,3.4,0.2,0,0.2,1.4,0.6,0.6,0,0,0.8,1.4,-0.6,13.8,12.661,3.6,26.087,0.8,,1.8,0.4,0,,3.2,37.5,5,1,0.2,1.6,0.2,,3,13.636,0,0,1,8.6,0.8
Bachar Houli,Richmond,25,21,10.843,91.667,85.667,21,1.05,84.381,13.619,8.571,22.19,82.833,79.021,88.889,61.373,2.952,3.381,413,18.612,1.381,16.069,3.429,6.472,5.048,15.429,20.476,24.651,4.286,3.762,0.19,0.619,0.81,6.19,0.286,0.286,0.667,0.286,0.857,0.381,0.476,0,0,0,,0,,1.857,0.048,1.143,16.667,0.095,,6,0.286,0.238,0.571,0.333,50,5.048,18.403,1.381,1.667,2.048,8.19,1.667
Beau Maister,St Kilda,27,7,3.043,52.714,53,0,0,82.429,7.429,2.143,9.571,67.164,67.308,,77.612,1.571,0,194.571,20.328,3,3.19,2.857,3.35,3.714,6.429,10.143,36.62,0.857,1,0,0.143,0.143,4.857,1.429,2.143,0.143,1,1.143,1.429,-0.286,2.143,2.613,0.714,,0,,1.143,0.571,0.143,,3.286,17.391,10,1.429,1.143,2.714,0.429,52.632,5,19.663,0.429,0,1.429,6.143,0.857
Beau Waters,West Coast,27,7,5.786,82.857,86.857,0,0,86.857,14.857,5.571,20.429,68.531,65.385,76.923,72.727,1.429,5.857,352.429,17.252,3.571,5.72,5.143,3.972,6.143,13.571,19.714,31.159,7.286,4.429,0.143,0.429,0.571,7.143,0.571,0,2,0.143,1,0.714,0.286,0,0,0,,0,,2.714,0,1.714,16.667,0.143,,0,0,0,0,0,,2.429,9.659,0.286,1,3.857,10.429,3
Ben Cunnington,North Melbourne,22,20,12.26,95.8,82.5,22,1.1,73.3,10.8,10.25,21.05,68.812,58.252,79.798,51.306,2.9,1.1,243.474,11.45,2.4,8.771,3.737,5.69,13.15,8,21.15,62.175,2.211,8.316,2.65,4.5,7.15,2.7,0.45,0.8,0.421,0.316,1.25,1.1,0.15,0,0,0,,0,,4.8,0.789,0.263,,0.316,,14,0.7,0.15,0.947,0.45,66.667,5.895,21.013,1.842,0,1,16.158,0.368
Ben Griffiths,Richmond,22,1,8,61,32,0,0,97,3,3,6,,,,,0,2,67,,1,6,3,2,2,4,6,,4,1,0,0,0,3,1,0,3,0,0,0,0,0,0,0,,0,,2,0,0,,0,,0,0,0,0,0,,5,13.889,5,0,6,5,5
