Player,Team,Age,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Aaron Black,North Melbourne,23,18,7.994,76.556,70.944,11,0.611,90.778,8,5.833,13.833,67.364,61.151,76,57.831,2.389,0.278,206.059,14.657,1.833,7.545,3,4.686,5.611,8.333,13.944,40.239,1,4.118,0,0.111,0.111,4.778,0.667,2.111,0.176,1.941,0.833,0.667,0.167,1.353,1.482,0.278,21.739,0.118,,2.389,0.941,0.294,,3.529,23.333,33,1.833,1.278,3.647,0.5,48.387,6.588,23.83,0.529,0.056,1.5,10.529,1.059
Aaron Cornelius,Brisbane,23,3,5.067,42,42.667,0,0,70.667,5,2.667,7.667,56.522,,,65.217,1.333,0.333,149,19.435,1.667,4.6,1.667,4.6,4.333,3.333,7.667,56.522,0,3,0,0.333,0.333,3.333,0.667,1.333,0,1,0.667,0.333,0.333,0,0,0,,0,,1.333,0.667,0.333,,2.667,,3,1,1.333,2.333,0,,4.667,18.421,0,0,2,9.667,1.667
Aaron Davey,Melbourne,30,20,7.605,45.2,47.2,2,0.1,61.9,8.1,2.65,10.75,61.395,56.79,75.472,75.349,1.8,0.5,200.25,18.628,1.85,5.811,2.05,5.244,4.1,6.3,10.4,39.423,1.35,3.05,0.15,0.9,1.05,1.95,0.05,0.2,0,0.1,0.35,0.7,-0.35,0,0,0,,0,,2.1,0.4,0.05,,0.7,14.286,15,0.75,0.6,1.5,0.4,50,3.85,20.479,0.6,0.3,0.5,13.85,0.15
Aaron Edwards,Richmond,29,9,9.267,84.667,73.889,12,1.5,90.778,9.222,4.889,14.111,70.079,65.06,79.545,65.354,2.444,0.444,208.667,14.787,1.889,7.471,2.556,5.522,6,8.111,14.111,42.52,1.333,3.667,0,0.111,0.111,6.333,1.222,2.444,0.667,2.111,1.111,0.667,0.444,0.111,0.118,0,,0,,2,1.333,0.444,,3.444,45.161,14,1.556,1,3,0.778,51.852,6.222,21.132,0.333,0,1.889,8.556,1.667
Aaron Hall,Gold Coast,23,22,8.3,62.727,65.955,7,0.318,82.818,9.727,4.545,14.273,62.102,54.206,79,68.153,3.773,0.773,296.273,20.758,2.318,6.157,3.182,4.486,5.091,9.591,14.682,34.675,1.455,4,0.182,0.818,1,3.318,0.318,0.727,0,0.591,0.682,0.909,-0.227,0,0,0,,0,,3,1.136,0.182,,1.5,30.303,24,1.091,1.227,2.773,0.591,39.344,5.227,21.375,0.5,0.591,0.682,16.455,0.545
Aaron Joseph,Carlton,24,4,3.4,35.5,32,0,0,57.5,3.75,3.25,7,53.571,,,53.571,0.5,1.5,102,14.571,0.75,9.333,1.5,4.667,4,3,7,57.143,3.25,3.75,0,0.5,0.5,1,0,0,0,0,0,0.25,-0.25,0,0,0,,0,,3,0.5,1.25,,0,,0,0,0,0.25,0.25,,2,6.723,1.5,0.25,1.75,7.25,1.25
Aaron Mullett,North Melbourne,21,22,7.864,77.818,74.273,6,0.273,85.636,13.5,5.318,18.818,74.372,70.629,83.929,71.739,1.682,3.591,398.286,21.015,1.909,9.857,3.571,5.307,4.182,12.409,16.591,25.205,3.81,3.19,0.182,0.318,0.5,4.545,0.273,0.045,0.571,0,0.636,0.455,0.182,0,0,0,,0,,1.591,0.048,1.286,44.444,0,,14,0.636,0.045,0.762,0.182,81.25,4.19,15.251,1.048,1.318,1.091,7.429,0.952
Aaron Sandilands,Fremantle,31,10,9.1,79,57.8,1,0.143,69,1.8,7.4,9.2,78.261,,78.378,19.565,0.6,0.3,40.7,4.424,1.3,7.077,1.3,7.077,5.7,3.7,9.4,60.638,0.9,3.3,0.6,0.9,1.5,2.2,1.5,0.4,0.4,0,0.3,0.6,-0.3,45.6,52.962,27.8,60.965,7.5,26.978,0.7,0.1,0.2,,2.4,37.5,3,0.3,0.1,0.4,0.4,,4.3,16.475,2.4,0,2.7,4.6,2
Aaron Young,Port Adelaide,21,5,6.88,54.6,48.4,0,0,46.6,5,7,12,76.667,76,77.143,41.667,1.4,0.2,131.4,10.95,1.2,10,1,12,4.4,7.8,12.2,36.066,1.6,3.8,0.6,1.4,2,4.2,0.2,1.2,0.2,0.6,0,1,-1,0.4,0.439,0.2,,0.2,,1.4,0.2,0,,0.6,,3,0.6,0.4,1,0.8,,4.6,18.699,1,0.6,0.4,5.6,0
Adam Carter,West Coast,19,5,5.02,47.8,57.8,0,0,78.6,9.2,3.4,12.6,74.603,71.739,,73.016,1.4,1,197.2,15.651,0.6,21,1.6,7.875,2.2,10.2,12.4,17.742,2.8,1.8,0,0,0,4.8,0,0,1,0.2,0.4,0.4,0,0,0,0,,0,,2.4,0.2,0.4,,0,,0,0,0.2,0.2,0,,2.4,10.714,0.4,0.6,0.8,9.8,0.2
